unit	cluster	hap1	hap2	purity	score
1712	0	8	10	0.5556	64.2303
729	0	0	25	1.0000	229.7853
942	0	2	24	0.9231	104.1806
597	1	26	0	1.0000	280.3542
1795	0	16	19	0.5429	0.0000
369	1	24	11	0.6857	50.4878
1529	0	0	34	1.0000	0.0000
427	0	9	6	0.6000	43.3444
687	0	36	0	1.0000	272.8022
222	1	22	4	0.8462	64.2690
492	1	19	1	0.9500	66.4325
1480	0	0	21	1.0000	0.0000
824	0	35	37	0.5139	0.0000
188	0	0	22	1.0000	176.5975
444	0	13	9	0.5909	48.5634
1052	1	27	0	1.0000	348.6557
121	1	19	3	0.8636	137.2680
1144	1	0	33	1.0000	310.1700
1881	0	19	24	0.5581	0.0000
357	1	31	1	0.9688	369.0666
1016	1	36	0	1.0000	350.3953
1789	1	7	8	0.5333	239.3019
1277	0	14	13	0.5185	51.4536
216	0	16	17	0.5152	61.0297
597	0	0	27	1.0000	280.3542
629	0	24	16	0.6000	0.0000
1157	0	2	22	0.9167	74.4839
1879	0	18	21	0.5385	0.0000
640	0	0	30	1.0000	0.0000
150	2	10	7	0.5882	1440.4547
1429	0	31	27	0.5345	0.0000
1053	0	0	22	1.0000	312.5032
914	1	29	0	1.0000	258.2478
570	0	0	27	1.0000	276.3399
177	0	27	0	1.0000	196.7534
712	1	17	10	0.6296	33.4076
993	0	21	16	0.5676	41.9380
1105	0	29	0	1.0000	196.4126
1338	0	30	2	0.9375	156.5496
390	0	28	0	1.0000	279.4341
708	1	1	30	0.9677	349.2882
709	1	0	26	1.0000	286.9928
1189	1	2	19	0.9048	118.1765
1645	0	0	16	1.0000	200.0521
319	1	15	17	0.5312	62.3765
874	0	11	14	0.5600	61.5183
72	0	25	20	0.5556	0.0000
24	0	26	0	1.0000	299.0175
464	1	22	4	0.8462	86.9629
294	0	22	6	0.7857	67.9012
1326	1	18	17	0.5143	44.4796
649	1	20	14	0.5882	44.5275
561	1	1	24	0.9600	92.7130
1354	0	0	31	1.0000	344.4464
1501	1	29	0	1.0000	345.5844
886	0	1	28	0.9655	245.2967
349	0	29	1	0.9667	106.1364
1255	0	0	20	1.0000	104.8113
1204	1	2	31	0.9394	84.9763
187	0	0	27	1.0000	189.6405
31	0	0	28	1.0000	337.6588
18	0	29	2	0.9355	77.2543
816	1	13	9	0.5909	52.6085
116	0	12	11	0.5217	73.4636
675	0	26	0	1.0000	298.1056
732	1	33	0	1.0000	330.1116
402	1	28	0	1.0000	126.0182
206	0	17	25	0.5952	43.7372
741	1	3	23	0.8846	101.2615
1703	0	27	2	0.9310	119.1002
493	1	23	0	1.0000	153.8205
211	0	30	0	1.0000	282.1732
134	0	0	23	1.0000	250.7310
1270	1	24	0	1.0000	340.0680
1466	0	14	19	0.5758	47.6156
760	1	1	31	0.9688	162.0110
927	0	0	21	1.0000	247.5144
1248	2	17	13	0.5667	2484.9854
564	1	19	9	0.6786	66.6244
740	1	22	1	0.9565	64.6212
1047	1	24	3	0.8889	73.6410
1404	0	20	1	0.9524	254.4615
1581	0	20	2	0.9091	107.8532
365	0	0	33	1.0000	0.0000
1081	0	24	1	0.9600	256.6970
471	0	22	3	0.8800	64.1988
